CROP,IDREGION,year,yield
Total potatoes,NL34,1995,40.0
Soft wheat,NL34,1995,9.1
Spring barley,NL33,1995,6.4
Sugar beet,NL33,1995,62.0
Total potatoes,NL33,1995,45.0
Soft wheat,NL33,1995,9.6
Spring barley,NL13,1996,6.6
Sugar beet,NL13,1996,45.0
Total potatoes,NL13,1996,40.0
Soft wheat,NL13,1996,7.1
Spring barley,NL23,1996,7.3
Sugar beet,NL23,1996,66.0
Total potatoes,NL23,1996,49.0
Soft wheat,NL23,1996,9.4
Spring barley,NL12,1996,6.9
Sugar beet,NL12,1996,55.0
Total potatoes,NL12,1996,35.0
Soft wheat,NL12,1996,8.8
Spring barley,NL22,1996,6.0
Sugar beet,NL22,1996,51.0
Total potatoes,NL22,1996,41.0
Soft wheat,NL22,1996,8.1
Spring barley,NL11,1996,6.6
Sugar beet,NL11,1996,52.0
Total potatoes,NL11,1996,40.0
Soft wheat,NL11,1996,8.4
Spring barley,NL42,1996,5.1
Sugar beet,NL42,1996,54.0
Total potatoes,NL42,1996,50.0
Soft wheat,NL42,1996,8.4
Spring barley,NL41,1996,6.2
Sugar beet,NL41,1996,55.0
Total potatoes,NL41,1996,48.0
Soft wheat,NL41,1996,9.3
Spring barley,NL32,1996,5.9
Sugar beet,NL32,1996,60.0
Total potatoes,NL32,1996,43.0
Soft wheat,NL32,1996,8.9
Spring barley,NL21,1996,6.1
Sugar beet,NL21,1996,48.0
Total potatoes,NL21,1996,44.0
Soft wheat,NL21,1996,7.3
Spring barley,NL31,1996,3.9
Sugar beet,NL31,1996,48.0
Total potatoes,NL31,1996,47.0
Soft wheat,NL31,1996,9.3
Spring barley,NL34,1996,8.1
Sugar beet,NL34,1996,54.0
Total potatoes,NL34,1996,43.0
Soft wheat,NL34,1996,9.8
Spring barley,NL33,1996,7.4
Sugar beet,NL33,1996,62.0
Total potatoes,NL33,1996,50.0
Soft wheat,NL33,1996,9.7
Spring barley,NL13,1997,6.5
Sugar beet,NL13,1997,47.9
Total potatoes,NL13,1997,43.4
Soft wheat,NL13,1997,7.1
Spring barley,NL23,1997,6.8
Sugar beet,NL23,1997,69.7
Total potatoes,NL23,1997,46.8
Soft wheat,NL23,1997,8.0
Spring barley,NL12,1997,6.2
Sugar beet,NL12,1997,57.8
Total potatoes,NL12,1997,34.8
Soft wheat,NL12,1997,8.0
Spring barley,NL22,1997,6.0
Sugar beet,NL22,1997,53.7
Total potatoes,NL22,1997,41.6
Soft wheat,NL22,1997,7.1
Spring barley,NL11,1997,6.4
Sugar beet,NL11,1997,55.7
Total potatoes,NL11,1997,41.3
Soft wheat,NL11,1997,8.1
Spring barley,NL42,1997,5.6
Sugar beet,NL42,1997,55.1
Total potatoes,NL42,1997,48.7
Soft wheat,NL42,1997,7.0
Spring barley,NL41,1997,5.7
Sugar beet,NL41,1997,57.6
Total potatoes,NL41,1997,47.4
Soft wheat,NL41,1997,7.4
Spring barley,NL32,1997,6.9
Sugar beet,NL32,1997,61.2
Total potatoes,NL32,1997,43.5
Soft wheat,NL32,1997,8.5
Spring barley,NL21,1997,6.2
Sugar beet,NL21,1997,48.6
Total potatoes,NL21,1997,45.0
Soft wheat,NL21,1997,6.7
Spring barley,NL31,1997,5.9
Sugar beet,NL31,1997,47.5
Total potatoes,NL31,1997,43.3
Soft wheat,NL31,1997,8.1
Spring barley,NL34,1997,6.9
Sugar beet,NL34,1997,60.3
Total potatoes,NL34,1997,46.5
Soft wheat,NL34,1997,7.8
Spring barley,NL33,1997,6.4
Sugar beet,NL33,1997,62.2
Total potatoes,NL33,1997,48.0
Soft wheat,NL33,1997,7.5
Spring barley,NL13,1998,5.2
Sugar beet,NL13,1998,46.0
Total potatoes,NL13,1998,41.0
Soft wheat,NL13,1998,6.2
Spring barley,NL23,1998,5.8
Sugar beet,NL23,1998,56.0
Total potatoes,NL23,1998,44.0
Soft wheat,NL23,1998,7.1
Spring barley,NL12,1998,5.5
Sugar beet,NL12,1998,46.0
Total potatoes,NL12,1998,35.0
Soft wheat,NL12,1998,7.5
Spring barley,NL22,1998,5.4
Sugar beet,NL22,1998,46.0
Total potatoes,NL22,1998,42.0
Soft wheat,NL22,1998,7.3
Spring barley,NL11,1998,5.5
Sugar beet,NL11,1998,47.0
Total potatoes,NL11,1998,38.0
Soft wheat,NL11,1998,7.0
Spring barley,NL42,1998,5.4
Sugar beet,NL42,1998,52.0
Total potatoes,NL42,1998,50.0
Soft wheat,NL42,1998,7.3
Spring barley,NL41,1998,5.5
Sugar beet,NL41,1998,51.0
Total potatoes,NL41,1998,47.0
Soft wheat,NL41,1998,7.9
Spring barley,NL32,1998,5.8
Sugar beet,NL32,1998,52.0
Total potatoes,NL32,1998,39.0
Soft wheat,NL32,1998,7.6
Spring barley,NL21,1998,5.2
Sugar beet,NL21,1998,45.0
Total potatoes,NL21,1998,42.0
Soft wheat,NL21,1998,6.5
Spring barley,NL31,1998,5.6
Sugar beet,NL31,1998,47.0
Total potatoes,NL31,1998,42.0
Soft wheat,NL31,1998,6.9
Spring barley,NL34,1998,6.4
Sugar beet,NL34,1998,51.0
Total potatoes,NL34,1998,41.0
Soft wheat,NL34,1998,8.9
Spring barley,NL33,1998,6.2
Sugar beet,NL33,1998,51.0
Total potatoes,NL33,1998,41.0
Soft wheat,NL33,1998,8.7
Spring barley,NL13,1999,6.2
Sugar beet,NL13,1999,54.8
Total potatoes,NL13,1999,43.0
Soft wheat,NL13,1999,7.5
Spring barley,NL23,1999,6.9
Sugar beet,NL23,1999,68.1
Total potatoes,NL23,1999,50.0
Soft wheat,NL23,1999,9.6
Spring barley,NL12,1999,6.4
Sugar beet,NL12,1999,64.6
Total potatoes,NL12,1999,38.0
Soft wheat,NL12,1999,8.6
Spring barley,NL22,1999,6.1
Sugar beet,NL22,1999,56.5
Total potatoes,NL22,1999,44.0
Soft wheat,NL22,1999,8.8
Spring barley,NL11,1999,6.4
Sugar beet,NL11,1999,60.3
Total potatoes,NL11,1999,41.0
Soft wheat,NL11,1999,8.1
Spring barley,NL42,1999,5.5
Sugar beet,NL42,1999,63.1
Total potatoes,NL42,1999,54.0
Soft wheat,NL42,1999,8.5
Spring barley,NL41,1999,5.9
Sugar beet,NL41,1999,61.0
Total potatoes,NL41,1999,51.0
Soft wheat,NL41,1999,8.9
Spring barley,NL32,1999,6.1
Sugar beet,NL32,1999,62.8
Total potatoes,NL32,1999,43.0
Soft wheat,NL32,1999,8.9
Spring barley,NL21,1999,5.9
Sugar beet,NL21,1999,55.0
Total potatoes,NL21,1999,45.0
Soft wheat,NL21,1999,6.5
Spring barley,NL31,1999,6.2
Sugar beet,NL31,1999,60.2
Total potatoes,NL31,1999,44.0
Soft wheat,NL31,1999,8.4
Spring barley,NL34,1999,6.7
Sugar beet,NL34,1999,61.0
Total potatoes,NL34,1999,48.0
Soft wheat,NL34,1999,9.3
Spring barley,NL33,1999,6.4
Sugar beet,NL33,1999,60.6
Total potatoes,NL33,1999,48.0
Soft wheat,NL33,1999,9.2
Spring barley,NL13,2000,6.0
Sugar beet,NL13,2000,57.0
Total potatoes,NL13,2000,43.5
Soft wheat,NL13,2000,7.1
Spring barley,NL23,2000,7.5
Sugar beet,NL23,2000,70.0
Total potatoes,NL23,2000,52.3
Soft wheat,NL23,2000,9.3
Spring barley,NL12,2000,6.7
Sugar beet,NL12,2000,60.4
Total potatoes,NL12,2000,36.9
Soft wheat,NL12,2000,8.9
Spring barley,NL22,2000,6.0
Sugar beet,NL22,2000,59.1
Total potatoes,NL22,2000,44.4
Soft wheat,NL22,2000,8.5
Spring barley,NL11,2000,6.3
Sugar beet,NL11,2000,59.1
Total potatoes,NL11,2000,41.6
Soft wheat,NL11,2000,8.2
Spring barley,NL42,2000,5.6
Sugar beet,NL42,2000,62.2
Total potatoes,NL42,2000,53.4
Soft wheat,NL42,2000,7.8
Spring barley,NL41,2000,5.7
Sugar beet,NL41,2000,60.1
Total potatoes,NL41,2000,51.0
Soft wheat,NL41,2000,8.4
Spring barley,NL32,2000,6.6
Sugar beet,NL32,2000,61.4
Total potatoes,NL32,2000,43.6
Soft wheat,NL32,2000,8.3
Spring barley,NL21,2000,5.7
Sugar beet,NL21,2000,55.2
Total potatoes,NL21,2000,43.5
Soft wheat,NL21,2000,7.2
Spring barley,NL31,2000,6.2
Sugar beet,NL31,2000,59.1
Total potatoes,NL31,2000,50.0
Soft wheat,NL31,2000,8.4
Spring barley,NL34,2000,6.5
Sugar beet,NL34,2000,62.1
Total potatoes,NL34,2000,49.2
Soft wheat,NL34,2000,9.2
Spring barley,NL33,2000,6.5
Sugar beet,NL33,2000,60.6
Total potatoes,NL33,2000,49.5
Soft wheat,NL33,2000,8.9
Spring barley,NL13,2001,6.0
Sugar beet,NL13,2001,52.3
Total potatoes,NL13,2001,41.7
Soft wheat,NL13,2001,7.6
Spring barley,NL23,2001,6.8
Sugar beet,NL23,2001,63.6
Total potatoes,NL23,2001,48.0
Soft wheat,NL23,2001,9.0
Spring barley,NL12,2001,6.6
Sugar beet,NL12,2001,57.6
Total potatoes,NL12,2001,36.8
Soft wheat,NL12,2001,9.2
Spring barley,NL22,2001,5.3
Sugar beet,NL22,2001,54.2
Total potatoes,NL22,2001,42.6
Soft wheat,NL22,2001,7.3
Spring barley,NL11,2001,6.3
Sugar beet,NL11,2001,54.4
Total potatoes,NL11,2001,40.7
Soft wheat,NL11,2001,8.7
Spring barley,NL42,2001,4.9
Sugar beet,NL42,2001,54.0
Total potatoes,NL42,2001,51.3
Soft wheat,NL42,2001,8.3
Spring barley,NL41,2001,5.2
Sugar beet,NL41,2001,54.2
Total potatoes,NL41,2001,47.8
Soft wheat,NL41,2001,7.6
Spring barley,NL32,2001,5.9
Sugar beet,NL32,2001,56.4
Total potatoes,NL32,2001,40.5
Soft wheat,NL32,2001,8.2
Spring barley,NL21,2001,5.5
Sugar beet,NL21,2001,50.6
Total potatoes,NL21,2001,41.4
Soft wheat,NL21,2001,6.5
Spring barley,NL31,2001,4.9
Sugar beet,NL31,2001,56.2
Total potatoes,NL31,2001,46.0
Soft wheat,NL31,2001,7.1
Spring barley,NL34,2001,5.6
Sugar beet,NL34,2001,54.3
Total potatoes,NL34,2001,42.7
Soft wheat,NL34,2001,8.4
Spring barley,NL33,2001,5.6
Sugar beet,NL33,2001,53.8
Total potatoes,NL33,2001,43.4
Soft wheat,NL33,2001,8.2
Spring barley,NL13,2002,5.4
Sugar beet,NL13,2002,54.0
Total potatoes,NL13,2002,41.5
Soft wheat,NL13,2002,6.7
Spring barley,NL23,2002,5.5
Sugar beet,NL23,2002,64.2
Total potatoes,NL23,2002,46.5
Soft wheat,NL23,2002,7.3
Spring barley,NL12,2002,5.6
Sugar beet,NL12,2002,56.7
Total potatoes,NL12,2002,35.0
Soft wheat,NL12,2002,8.0
Spring barley,NL22,2002,5.5
Sugar beet,NL22,2002,56.6
Total potatoes,NL22,2002,45.2
Soft wheat,NL22,2002,7.1
Spring barley,NL11,2002,5.6
Sugar beet,NL11,2002,55.3
Total potatoes,NL11,2002,40.5
Soft wheat,NL11,2002,7.9
Spring barley,NL42,2002,5.0
Sugar beet,NL42,2002,56.6
Total potatoes,NL42,2002,52.9
Soft wheat,NL42,2002,8.5
Spring barley,NL41,2002,5.2
Sugar beet,NL41,2002,58.4
Total potatoes,NL41,2002,49.7
Soft wheat,NL41,2002,8.4
Spring barley,NL32,2002,6.0
Sugar beet,NL32,2002,61.8
Total potatoes,NL32,2002,41.1
Soft wheat,NL32,2002,8.2
Spring barley,NL21,2002,5.3
Sugar beet,NL21,2002,54.1
Total potatoes,NL21,2002,43.7
Soft wheat,NL21,2002,6.5
Spring barley,NL31,2002,5.6
Sugar beet,NL31,2002,55.7
Total potatoes,NL31,2002,45.2
Soft wheat,NL31,2002,8.0
Spring barley,NL34,2002,5.8
Sugar beet,NL34,2002,59.4
Total potatoes,NL34,2002,49.6
Soft wheat,NL34,2002,8.6
Spring barley,NL33,2002,5.9
Sugar beet,NL33,2002,59.6
Total potatoes,NL33,2002,49.3
Soft wheat,NL33,2002,8.6
Spring barley,NL13,2003,6.3
Sugar beet,NL13,2003,54.8
Total potatoes,NL13,2003,37.3
Soft wheat,NL13,2003,7.8
Spring barley,NL23,2003,6.0
Sugar beet,NL23,2003,67.0
Total potatoes,NL23,2003,44.4
Soft wheat,NL23,2003,10.1
Spring barley,NL12,2003,6.9
Sugar beet,NL12,2003,63.3
Total potatoes,NL12,2003,37.1
Soft wheat,NL12,2003,9.2
Spring barley,NL22,2003,5.6
Sugar beet,NL22,2003,56.3
Total potatoes,NL22,2003,38.7
Soft wheat,NL22,2003,8.4
Spring barley,NL11,2003,6.6
Sugar beet,NL11,2003,59.2
Total potatoes,NL11,2003,38.0
Soft wheat,NL11,2003,8.8
Spring barley,NL42,2003,5.9
Sugar beet,NL42,2003,61.1
Total potatoes,NL42,2003,48.8
Soft wheat,NL42,2003,8.2
Spring barley,NL41,2003,6.3
Sugar beet,NL41,2003,59.9
Total potatoes,NL41,2003,46.0
Soft wheat,NL41,2003,8.9
Spring barley,NL32,2003,6.6
Sugar beet,NL32,2003,62.7
Total potatoes,NL32,2003,38.1
Soft wheat,NL32,2003,8.9
Spring barley,NL21,2003,5.8
Sugar beet,NL21,2003,51.3
Total potatoes,NL21,2003,35.0
Soft wheat,NL21,2003,7.7
Spring barley,NL31,2003,5.6
Sugar beet,NL31,2003,56.0
Total potatoes,NL31,2003,42.5
Soft wheat,NL31,2003,8.7
Spring barley,NL34,2003,7.6
Sugar beet,NL34,2003,62.8
Total potatoes,NL34,2003,42.9
Soft wheat,NL34,2003,9.6
Spring barley,NL33,2003,7.4
Sugar beet,NL33,2003,62.1
Total potatoes,NL33,2003,42.7
Soft wheat,NL33,2003,9.4
Spring barley,NL13,2004,5.9
Sugar beet,NL13,2004,62.4
Total potatoes,NL13,2004,44.2
Soft wheat,NL13,2004,7.7
Spring barley,NL23,2004,7.0
Sugar beet,NL23,2004,70.1
Total potatoes,NL23,2004,49.4
Soft wheat,NL23,2004,9.6
Spring barley,NL12,2004,5.6
Sugar beet,NL12,2004,61.7
Total potatoes,NL12,2004,35.9
Soft wheat,NL12,2004,8.9
Spring barley,NL22,2004,6.1
Sugar beet,NL22,2004,61.6
Total potatoes,NL22,2004,46.0
Soft wheat,NL22,2004,8.6
Spring barley,NL11,2004,6.0
Sugar beet,NL11,2004,62.0
Total potatoes,NL11,2004,41.4
Soft wheat,NL11,2004,8.8
Spring barley,NL42,2004,5.4
Sugar beet,NL42,2004,61.2
Total potatoes,NL42,2004,55.0
Soft wheat,NL42,2004,8.5
Spring barley,NL41,2004,5.8
Sugar beet,NL41,2004,63.4
Total potatoes,NL41,2004,52.2
Soft wheat,NL41,2004,9.2
Spring barley,NL32,2004,6.4
Sugar beet,NL32,2004,67.2
Total potatoes,NL32,2004,43.0
Soft wheat,NL32,2004,9.4
Spring barley,NL21,2004,6.1
Sugar beet,NL21,2004,60.1
Total potatoes,NL21,2004,44.2
Soft wheat,NL21,2004,7.5
Spring barley,NL31,2004,5.8
Sugar beet,NL31,2004,62.5
Total potatoes,NL31,2004,50.7
Soft wheat,NL31,2004,8.8
Spring barley,NL34,2004,7.2
Sugar beet,NL34,2004,67.3
Total potatoes,NL34,2004,47.8
Soft wheat,NL34,2004,10.1
Spring barley,NL33,2004,6.9
Sugar beet,NL33,2004,66.8
Total potatoes,NL33,2004,48.0
Soft wheat,NL33,2004,9.9
Spring barley,NL13,2005,6.0
Sugar beet,NL13,2005,61.1
Total potatoes,NL13,2005,44.1
Soft wheat,NL13,2005,7.7
Spring barley,NL23,2005,6.5
Sugar beet,NL23,2005,71.6
Total potatoes,NL23,2005,43.5
Soft wheat,NL23,2005,9.3
Spring barley,NL12,2005,6.3
Sugar beet,NL12,2005,62.0
Total potatoes,NL12,2005,33.8
Soft wheat,NL12,2005,8.8
Spring barley,NL22,2005,5.6
Sugar beet,NL22,2005,61.4
Total potatoes,NL22,2005,43.3
Soft wheat,NL22,2005,8.5
Spring barley,NL11,2005,6.3
Sugar beet,NL11,2005,63.1
Total potatoes,NL11,2005,40.1
Soft wheat,NL11,2005,8.5
Spring barley,NL42,2005,5.5
Sugar beet,NL42,2005,62.6
Total potatoes,NL42,2005,50.6
Soft wheat,NL42,2005,8.8
Spring barley,NL41,2005,5.8
Sugar beet,NL41,2005,63.4
Total potatoes,NL41,2005,48.0
Soft wheat,NL41,2005,8.8
Spring barley,NL32,2005,6.5
Sugar beet,NL32,2005,68.6
Total potatoes,NL32,2005,39.1
Soft wheat,NL32,2005,8.9
Spring barley,NL21,2005,5.7
Sugar beet,NL21,2005,59.0
Total potatoes,NL21,2005,45.1
Soft wheat,NL21,2005,8.1
Spring barley,NL31,2005,5.1
Sugar beet,NL31,2005,62.3
Total potatoes,NL31,2005,44.7
Soft wheat,NL31,2005,8.1
Spring barley,NL34,2005,7.0
Sugar beet,NL34,2005,69.2
Total potatoes,NL34,2005,46.0
Soft wheat,NL34,2005,9.5
Spring barley,NL33,2005,6.9
Sugar beet,NL33,2005,68.6
Total potatoes,NL33,2005,46.7
Soft wheat,NL33,2005,9.3
Spring barley,NL13,2006,5.7
Sugar beet,NL13,2006,63.3
Total potatoes,NL13,2006,37.2
Soft wheat,NL13,2006,7.0
Spring barley,NL23,2006,7.0
Sugar beet,NL23,2006,77.2
Total potatoes,NL23,2006,45.7
Soft wheat,NL23,2006,9.3
Spring barley,NL12,2006,6.7
Sugar beet,NL12,2006,67.8
Total potatoes,NL12,2006,35.5
Soft wheat,NL12,2006,8.6
Spring barley,NL22,2006,5.6
Sugar beet,NL22,2006,63.3
Total potatoes,NL22,2006,38.9
Soft wheat,NL22,2006,8.6
Spring barley,NL11,2006,6.2
Sugar beet,NL11,2006,65.8
Total potatoes,NL11,2006,37.8
Soft wheat,NL11,2006,8.3
Spring barley,NL42,2006,5.3
Sugar beet,NL42,2006,58.8
Total potatoes,NL42,2006,48.4
Soft wheat,NL42,2006,8.4
Spring barley,NL41,2006,5.6
Sugar beet,NL41,2006,61.3
Total potatoes,NL41,2006,44.6
Soft wheat,NL41,2006,8.8
Spring barley,NL32,2006,6.3
Sugar beet,NL32,2006,69.9
Total potatoes,NL32,2006,38.1
Soft wheat,NL32,2006,8.8
Spring barley,NL21,2006,5.4
Sugar beet,NL21,2006,63.3
Total potatoes,NL21,2006,36.1
Soft wheat,NL21,2006,7.8
Spring barley,NL31,2006,5.6
Sugar beet,NL31,2006,62.2
Total potatoes,NL31,2006,42.5
Soft wheat,NL31,2006,8.1
Spring barley,NL34,2006,6.9
Sugar beet,NL34,2006,66.9
Total potatoes,NL34,2006,39.0
Soft wheat,NL34,2006,9.2
Spring barley,NL33,2006,6.8
Sugar beet,NL33,2006,66.2
Total potatoes,NL33,2006,39.8
Soft wheat,NL33,2006,9.0
Spring barley,NL13,2007,5.4
Sugar beet,NL13,2007,66.3
Total potatoes,NL13,2007,41.6
Soft wheat,NL13,2007,6.5
Spring barley,NL23,2007,6.3
Sugar beet,NL23,2007,75.4
Total potatoes,NL23,2007,48.1
Soft wheat,NL23,2007,8.5
Spring barley,NL12,2007,5.5
Sugar beet,NL12,2007,65.0
Total potatoes,NL12,2007,34.6
Soft wheat,NL12,2007,7.4
Spring barley,NL22,2007,5.1
Sugar beet,NL22,2007,53.5
Total potatoes,NL22,2007,43.6
Soft wheat,NL22,2007,6.9
Spring barley,NL11,2007,5.7
Sugar beet,NL11,2007,65.6
Total potatoes,NL11,2007,39.0
Soft wheat,NL11,2007,7.4
Spring barley,NL42,2007,4.7
Sugar beet,NL42,2007,70.2
Total potatoes,NL42,2007,55.0
Soft wheat,NL42,2007,7.6
Spring barley,NL41,2007,5.3
Sugar beet,NL41,2007,64.6
Total potatoes,NL41,2007,47.7
Soft wheat,NL41,2007,6.9
Spring barley,NL32,2007,6.3
Sugar beet,NL32,2007,65.9
Total potatoes,NL32,2007,39.1
Soft wheat,NL32,2007,7.1
Spring barley,NL21,2007,5.6
Sugar beet,NL21,2007,67.1
Total potatoes,NL21,2007,41.7
Soft wheat,NL21,2007,6.1
Spring barley,NL31,2007,4.8
Sugar beet,NL31,2007,65.0
Total potatoes,NL31,2007,47.8
Soft wheat,NL31,2007,5.4
Spring barley,NL34,2007,5.7
Sugar beet,NL34,2007,66.3
Total potatoes,NL34,2007,45.4
Soft wheat,NL34,2007,7.7
Spring barley,NL33,2007,5.8
Sugar beet,NL33,2007,67.7
Total potatoes,NL33,2007,47.6
Soft wheat,NL33,2007,7.0
Spring barley,NL13,2008,6.2
Sugar beet,NL13,2008,71.8
Total potatoes,NL13,2008,43.6
Soft wheat,NL13,2008,7.4
Spring barley,NL23,2008,6.8
Sugar beet,NL23,2008,81.9
Total potatoes,NL23,2008,48.5
Soft wheat,NL23,2008,9.3
Spring barley,NL12,2008,5.3
Sugar beet,NL12,2008,70.8
Total potatoes,NL12,2008,36.8
Soft wheat,NL12,2008,8.3
Spring barley,NL22,2008,4.8
Sugar beet,NL22,2008,68.9
Total potatoes,NL22,2008,44.6
Soft wheat,NL22,2008,9.0
Spring barley,NL11,2008,5.9
Sugar beet,NL11,2008,70.9
Total potatoes,NL11,2008,42.3
Soft wheat,NL11,2008,8.9
Spring barley,NL42,2008,5.5
Sugar beet,NL42,2008,68.0
Total potatoes,NL42,2008,54.0
Soft wheat,NL42,2008,8.5
Spring barley,NL41,2008,5.2
Sugar beet,NL41,2008,72.1
Total potatoes,NL41,2008,51.6
Soft wheat,NL41,2008,9.1
Spring barley,NL32,2008,5.5
Sugar beet,NL32,2008,71.1
Total potatoes,NL32,2008,39.2
Soft wheat,NL32,2008,8.9
Spring barley,NL21,2008,5.3
Sugar beet,NL21,2008,73.4
Total potatoes,NL21,2008,49.4
Soft wheat,NL21,2008,7.8
Spring barley,NL31,2008,5.9
Sugar beet,NL31,2008,67.7
Total potatoes,NL31,2008,46.4
Soft wheat,NL31,2008,8.9
Spring barley,NL34,2008,7.1
Sugar beet,NL34,2008,69.3
Total potatoes,NL34,2008,47.9
Soft wheat,NL34,2008,9.0
Spring barley,NL33,2008,7.6
Sugar beet,NL33,2008,73.0
Total potatoes,NL33,2008,52.1
Soft wheat,NL33,2008,9.4
Spring barley,NL13,2009,6.7
Sugar beet,NL13,2009,73.4
Total potatoes,NL13,2009,44.6
Soft wheat,NL13,2009,8.0
Spring barley,NL23,2009,8.0
Sugar beet,NL23,2009,92.9
Total potatoes,NL23,2009,49.1
Soft wheat,NL23,2009,10.2
Spring barley,NL12,2009,6.5
Sugar beet,NL12,2009,75.5
Total potatoes,NL12,2009,37.4
Soft wheat,NL12,2009,9.4
Spring barley,NL22,2009,5.8
Sugar beet,NL22,2009,79.2
Total potatoes,NL22,2009,47.2
Soft wheat,NL22,2009,8.9
Spring barley,NL11,2009,6.9
Sugar beet,NL11,2009,74.8
Total potatoes,NL11,2009,42.8
Soft wheat,NL11,2009,9.5
Spring barley,NL42,2009,6.2
Sugar beet,NL42,2009,74.6
Total potatoes,NL42,2009,56.1
Soft wheat,NL42,2009,8.9
Spring barley,NL41,2009,5.9
Sugar beet,NL41,2009,79.3
Total potatoes,NL41,2009,52.1
Soft wheat,NL41,2009,9.5
Spring barley,NL32,2009,7.5
Sugar beet,NL32,2009,73.3
Total potatoes,NL32,2009,40.6
Soft wheat,NL32,2009,9.4
Spring barley,NL21,2009,6.1
Sugar beet,NL21,2009,78.8
Total potatoes,NL21,2009,46.0
Soft wheat,NL21,2009,7.7
Spring barley,NL31,2009,6.2
Sugar beet,NL31,2009,74.4
Total potatoes,NL31,2009,43.1
Soft wheat,NL31,2009,8.6
Spring barley,NL34,2009,7.8
Sugar beet,NL34,2009,80.3
Total potatoes,NL34,2009,46.0
Soft wheat,NL34,2009,10.0
Spring barley,NL33,2009,7.8
Sugar beet,NL33,2009,80.6
Total potatoes,NL33,2009,51.1
Soft wheat,NL33,2009,9.8
Spring barley,NL13,2010,5.6
Sugar beet,NL13,2010,68.7
Total potatoes,NL13,2010,39.4
Soft wheat,NL13,2010,7.7
Spring barley,NL23,2010,7.5
Sugar beet,NL23,2010,85.8
Total potatoes,NL23,2010,48.2
Soft wheat,NL23,2010,9.9
Spring barley,NL12,2010,5.8
Sugar beet,NL12,2010,75.8
Total potatoes,NL12,2010,38.4
Soft wheat,NL12,2010,9.8
Spring barley,NL22,2010,5.1
Sugar beet,NL22,2010,66.0
Total potatoes,NL22,2010,42.4
Soft wheat,NL22,2010,8.5
Spring barley,NL11,2010,6.1
Sugar beet,NL11,2010,71.2
Total potatoes,NL11,2010,40.0
